汉字,拼音,英文释义,等级,词频,category
与,yǔ,与,4,3,hsk4
指,zhǐ,指,4,3,hsk4
转,zhuǎn,转,4,3,hsk4
棒,bàng,棒,4,3,hsk4
抱,bào,抱,4,3,hsk4
倍,bèi,倍,4,3,hsk4
笨,bèn,笨,4,3,hsk4
遍,biàn,遍,4,3,hsk4
戴,dài,戴,4,3,hsk4
掉,diào,掉,4,3,hsk4
份,fèn,份,4,3,hsk4
富,fù,富,4,3,hsk4
各,gè,各,4,3,hsk4
够,gòu,够,4,3,hsk4
挂,guà,挂,4,3,hsk4
逛,guàng,逛,4,3,hsk4
汗,hàn,汗,4,3,hsk4
厚,hòu,厚,4,3,hsk4
寄,jì,寄,4,3,hsk4
困,kùn,困,4,3,hsk4
辣,là,辣,4,3,hsk4
乱,luàn,乱,4,3,hsk4
梦,mèng,梦,4,3,hsk4
内,nèi,内,4,3,hsk4
弄,nòng,弄,4,3,hsk4
骗,piàn,骗,4,3,hsk4
破,pò,破,4,3,hsk4
却,què,却,4,3,hsk4
剩,shèng,剩,4,3,hsk4
帅,shuài,帅,4,3,hsk4
趟,tàng,趟,4,3,hsk4
页,yè,页,4,3,hsk4
照,zhào,照,4,3,hsk4
重,zhòng,重,4,3,hsk4
赚,zhuàn,赚,4,3,hsk4
座,zuò,座,4,3,hsk4
呀,ya5,呀,4,3,hsk4
餐厅,cāntīng,餐厅,4,3,hsk4
参观,cānguān,参观,4,3,hsk4
吃惊,chījīng,吃惊,4,3,hsk4
抽烟,chōuyān,抽烟,4,3,hsk4
出差,chūchāi,出差,4,3,hsk4
出发,chūfā,出发,4,3,hsk4
出生,chūshēng,出生,4,3,hsk4
粗心,cūxīn,粗心,4,3,hsk4
发生,fāshēng,发生,4,3,hsk4
干杯,gānbēi,干杯,4,3,hsk4
工资,gōngzī,工资,4,3,hsk4
加班,jiābān,加班,4,3,hsk4
交通,jiāotōng,交通,4,3,hsk4
郊区,jiāoqū,郊区,4,3,hsk4
开心,kāixīn,开心,4,3,hsk4
轻松,qīngsōng,轻松,4,3,hsk4
沙发,shāfā,沙发,4,3,hsk4
伤心,shāngxīn,伤心,4,3,hsk4
稍微,shāowēi,稍微,4,3,hsk4
通知,tōngzhī,通知,4,3,hsk4
增加,zēngjiā,增加,4,3,hsk4
安排,ānpái,安排,4,3,hsk4
安全,ānquán,安全,4,3,hsk4
当时,dāngshí,当时,4,3,hsk4
积极,jījí,积极,4,3,hsk4
坚持,jiānchí,坚持,4,3,hsk4
将来,jiānglái,将来,4,3,hsk4
交流,jiāoliú,交流,4,3,hsk4
科学,kēxué,科学,4,3,hsk4
批评,pīpíng,批评,4,3,hsk4
区别,qūbié,区别,4,3,hsk4
森林,sēnlín,森林,4,3,hsk4
生活,shēnghuó,生活,4,3,hsk4
说明,shuōmíng,说明,4,3,hsk4
推迟,tuīchí,推迟,4,3,hsk4
相同,xiāngtóng,相同,4,3,hsk4
心情,xīnqíng,心情,4,3,hsk4
支持,zhīchí,支持,4,3,hsk4
周围,zhōuwéi,周围,4,3,hsk4
专门,zhuānmén,专门,4,3,hsk4
标准,biāozhǔn,标准,4,3,hsk4
发展,fāzhǎn,发展,4,3,hsk4
方法,fāngfǎ,方法,4,3,hsk4
公里,gōnglǐ,公里,4,3,hsk4
积累,jīlěi,积累,4,3,hsk4
基础,jīchǔ,基础,4,3,hsk4
精彩,jīngcǎi,精彩,4,3,hsk4
缺点,quēdiǎn,缺点,4,3,hsk4
缺少,quēshǎo,缺少,4,3,hsk4
申请,shēnqǐng,申请,4,3,hsk4
危险,wēixiǎn,危险,4,3,hsk4
污染,wūrǎn,污染,4,3,hsk4
吸引,xīyǐn,吸引,4,3,hsk4
相反,xiāngfǎn,相反,4,3,hsk4
辛苦,xīnkǔ,辛苦,4,3,hsk4
修理,xiūlǐ,修理,4,3,hsk4
邀请,yāoqǐng,邀请,4,3,hsk4
因此,yīncǐ,因此,4,3,hsk4
优点,yōudiǎn,优点,4,3,hsk4
超过,chāoguò,超过,4,3,hsk4
出现,chūxiàn,出现,4,3,hsk4
翻译,fānyì,翻译,4,3,hsk4
方面,fāngmiàn,方面,4,3,hsk4
方向,fāngxiàng,方向,4,3,hsk4
丰富,fēngfù,丰富,4,3,hsk4
估计,gūjì,估计,4,3,hsk4
关键,guānjiàn,关键,4,3,hsk4
观众,guānzhòng,观众,4,3,hsk4
规定,guīdìng,规定,4,3,hsk4
激动,jīdòng,激动,4,3,hsk4
家具,jiājù,家具,4,3,hsk4
骄傲,jiāoào,骄傲,4,3,hsk4
接受,jiēshòu,接受,4,3,hsk4
京剧,jīngjù,京剧,4,3,hsk4
经济,jīngjì,经济,4,3,hsk4
经历,jīnglì,经历,4,3,hsk4
经验,jīngyàn,经验,4,3,hsk4
究竟,jiūjìng,究竟,4,3,hsk4
空气,kōngqì,空气,4,3,hsk4
千万,qiānwàn,千万,4,3,hsk4
签证,qiānzhèng,签证,4,3,hsk4
生命,shēngmìng,生命,4,3,hsk4
失败,shībài,失败,4,3,hsk4
失望,shīwàng,失望,4,3,hsk4
收入,shōurù,收入,4,3,hsk4
通过,tōngguò,通过,4,3,hsk4
温度,wēndù,温度,4,3,hsk4
兴奋,xīngfèn,兴奋,4,3,hsk4
压力,yālì,压力,4,3,hsk4
优秀,yōuxiù,优秀,4,3,hsk4
幽默,yōumò,幽默,4,3,hsk4
约会,yuēhuì,约会,4,3,hsk4
招聘,zhāopìn,招聘,4,3,hsk4
真正,zhēnzhèng,真正,4,3,hsk4
专业,zhuānyè,专业,4,3,hsk4
尊重,zūnzhòng,尊重,4,3,hsk4
包子,bāozi,包子,4,3,hsk4
窗户,chuānghù,窗户,4,3,hsk4
胳膊,gēbó,胳膊,4,3,hsk4
功夫,gōngfu,功夫,4,3,hsk4
接着,jiēzhe,接着,4,3,hsk4
亲戚,qīnqī,亲戚,4,3,hsk4
商量,shāngliáng,商量,4,3,hsk4
生意,shēngyì,生意,4,3,hsk4
师傅,shīfù,师傅,4,3,hsk4
收拾,shōushí,收拾,4,3,hsk4
孙子,sūnzi,孙子,4,3,hsk4
消息,xiāoxī,消息,4,3,hsk4
知识,zhīshí,知识,4,3,hsk4
长江,chángjiāng,长江,4,3,hsk4
成功,chénggōng,成功,4,3,hsk4
重新,chóngxīn,重新,4,3,hsk4
传真,chuánzhēn,传真,4,3,hsk4
房东,fángdōng,房东,4,3,hsk4
航班,hángbān,航班,4,3,hsk4
节约,jiéyuē,节约,4,3,hsk4
毛巾,máojīn,毛巾,4,3,hsk4
皮肤,pífū,皮肤,4,3,hsk4
其中,qízhōng,其中,4,3,hsk4
十分,shífēn,十分,4,3,hsk4
熟悉,shúxī,熟悉,4,3,hsk4
提供,tígōng,提供,4,3,hsk4
文章,wénzhāng,文章,4,3,hsk4
学期,xuéqī,学期,4,3,hsk4
牙膏,yágāo,牙膏,4,3,hsk4
研究,yánjiū,研究,4,3,hsk4
阳光,yángguāng,阳光,4,3,hsk4
原因,yuányīn,原因,4,3,hsk4
直接,zhíjiē,直接,4,3,hsk4
长城,chángchéng,长城,4,3,hsk4
成为,chéngwéi,成为,4,3,hsk4
诚实,chéngshí,诚实,4,3,hsk4
厨房,chúfáng,厨房,4,3,hsk4
从来,cónglái,从来,4,3,hsk4
儿童,értóng,儿童,4,3,hsk4
符合,fúhé,符合,4,3,hsk4
国籍,guójí,国籍,4,3,hsk4
合格,hégé,合格,4,3,hsk4
怀疑,huáiyí,怀疑,4,3,hsk4
及时,jíshí,及时,4,3,hsk4
零钱,língqián,零钱,4,3,hsk4
流行,liúxíng,流行,4,3,hsk4
民族,mínzú,民族,4,3,hsk4
年龄,niánlíng,年龄,4,3,hsk4
平时,píngshí,平时,4,3,hsk4
然而,ránér,然而,4,3,hsk4
仍然,réngrán,仍然,4,3,hsk4
提前,tíqián,提前,4,3,hsk4
同情,tóngqíng,同情,4,3,hsk4
同时,tóngshí,同时,4,3,hsk4
完全,wánquán,完全,4,3,hsk4
无聊,wúliáo,无聊,4,3,hsk4
严格,yángé,严格,4,3,hsk4
尤其,yóuqí,尤其,4,3,hsk4
由于,yóuyú,由于,4,3,hsk4
邮局,yóujú,邮局,4,3,hsk4
原来,yuánlái,原来,4,3,hsk4
词语,cíyǔ,词语,4,3,hsk4
烦恼,fánnǎo,烦恼,4,3,hsk4
即使,jíshǐ,即使,4,3,hsk4
结果,jiéguǒ,结果,4,3,hsk4
提醒,tíxǐng,提醒,4,3,hsk4
博士,bóshì,博士,4,3,hsk4
不过,bùguò,不过,4,3,hsk4
材料,cáiliào,材料,4,3,hsk4
乘坐,chéngzuò,乘坐,4,3,hsk4
答案,dáàn,答案,4,3,hsk4
得意,déyì,得意,4,3,hsk4
国际,guójì,国际,4,3,hsk4
寒假,hánjià,寒假,4,3,hsk4
合适,héshì,合适,4,3,hsk4
回忆,huíyì,回忆,4,3,hsk4
活动,huódòng,活动,4,3,hsk4
来自,láizì,来自,4,3,hsk4
联系,liánxì,联系,4,3,hsk4
流利,liúlì,流利,4,3,hsk4
迷路,mílù,迷路,4,3,hsk4
难道,nándào,难道,4,3,hsk4
难受,nánshòu,难受,4,3,hsk4
能力,nénglì,能力,4,3,hsk4
排队,páiduì,排队,4,3,hsk4
排列,páiliè,排列,4,3,hsk4
其次,qícì,其次,4,3,hsk4
情况,qíngkuàng,情况,4,3,hsk4
全部,quánbù,全部,4,3,hsk4
实际,shíjì,实际,4,3,hsk4
实在,shízài,实在,4,3,hsk4
随便,suíbiàn,随便,4,3,hsk4
填空,tiánkòng,填空,4,3,hsk4
条件,tiáojiàn,条件,4,3,hsk4
无论,wúlùn,无论,4,3,hsk4
详细,xiángxì,详细,4,3,hsk4
严重,yánzhòng,严重,4,3,hsk4
一切,yīqiè,一切,4,3,hsk4
于是,yúshì,于是,4,3,hsk4
愉快,yúkuài,愉快,4,3,hsk4
原谅,yuánliàng,原谅,4,3,hsk4
杂志,zázhì,杂志,4,3,hsk4
责任,zérèn,责任,4,3,hsk4
职业,zhíyè,职业,4,3,hsk4
植物,zhíwù,植物,4,3,hsk4
盒子,hézi,盒子,4,3,hsk4
活泼,huópō,活泼,4,3,hsk4
咳嗽,késòu,咳嗽,4,3,hsk4
凉快,liángkuài,凉快,4,3,hsk4
麻烦,máfán,麻烦,4,3,hsk4
脾气,píqì,脾气,4,3,hsk4
葡萄,pútáo,葡萄,4,3,hsk4
勺子,sháozi,勺子,4,3,hsk4
随着,suízhe,随着,4,3,hsk4
咱们,zánmen,咱们,4,3,hsk4
值得,zhíde,值得,4,3,hsk4
饼干,bǐnggān,饼干,4,3,hsk4
打针,dǎzhēn,打针,4,3,hsk4
堵车,dǔchē,堵车,4,3,hsk4
广播,guǎngbō,广播,4,3,hsk4
果汁,guǒzhī,果汁,4,3,hsk4
奖金,jiǎngjīn,奖金,4,3,hsk4
紧张,jǐnzhāng,紧张,4,3,hsk4
烤鸭,kǎoyā,烤鸭,4,3,hsk4
可惜,kěxī,可惜,4,3,hsk4
首都,shǒudū,首都,4,3,hsk4
首先,shǒuxiān,首先,4,3,hsk4
小吃,xiǎochī,小吃,4,3,hsk4
小说,xiǎoshuō,小说,4,3,hsk4
许多,xǔduō,许多,4,3,hsk4
演出,yǎnchū,演出,4,3,hsk4
本来,běnlái,本来,4,3,hsk4
比如,bǐrú,比如,4,3,hsk4
表格,biǎogé,表格,4,3,hsk4
表扬,biǎoyáng,表扬,4,3,hsk4
打折,dǎzhé,打折,4,3,hsk4
导游,dǎoyóu,导游,4,3,hsk4
否则,fǒuzé,否则,4,3,hsk4
感觉,gǎnjué,感觉,4,3,hsk4
感情,gǎnqíng,感情,4,3,hsk4
海洋,hǎiyáng,海洋,4,3,hsk4
减肥,jiǎnféi,减肥,4,3,hsk4
警察,jǐngchá,警察,4,3,hsk4
举行,jǔxíng,举行,4,3,hsk4
可怜,kělián,可怜,4,3,hsk4
旅行,lǚxíng,旅行,4,3,hsk4
网球,wǎngqiú,网球,4,3,hsk4
演员,yǎnyuán,演员,4,3,hsk4
养成,yǎngchéng,养成,4,3,hsk4
以为,yǐwéi,以为,4,3,hsk4
语言,yǔyán,语言,4,3,hsk4
准时,zhǔnshí,准时,4,3,hsk4
总结,zǒngjié,总结,4,3,hsk4
表演,biǎoyǎn,表演,4,3,hsk4
打扰,dǎrǎo,打扰,4,3,hsk4
管理,guǎnlǐ,管理,4,3,hsk4
减少,jiǎnshǎo,减少,4,3,hsk4
尽管,jǐnguǎn,尽管,4,3,hsk4
老虎,lǎohǔ,老虎,4,3,hsk4
理解,lǐjiě,理解,4,3,hsk4
理想,lǐxiǎng,理想,4,3,hsk4
偶尔,ǒuěr,偶尔,4,3,hsk4
所有,suǒyǒu,所有,4,3,hsk4
往往,wǎngwǎng,往往,4,3,hsk4
也许,yěxǔ,也许,4,3,hsk4
引起,yǐnqǐ,引起,4,3,hsk4
永远,yǒngyuǎn,永远,4,3,hsk4
勇敢,yǒnggǎn,勇敢,4,3,hsk4
友好,yǒuhǎo,友好,4,3,hsk4
语法,yǔfǎ,语法,4,3,hsk4
允许,yǔnxǔ,允许,4,3,hsk4
整理,zhěnglǐ,整理,4,3,hsk4
只好,zhǐhǎo,只好,4,3,hsk4
保护,bǎohù,保护,4,3,hsk4
保证,bǎozhèng,保证,4,3,hsk4
表示,biǎoshì,表示,4,3,hsk4
打印,dǎyìn,打印,4,3,hsk4
短信,duǎnxìn,短信,4,3,hsk4
法律,fǎlǜ,法律,4,3,hsk4
反对,fǎnduì,反对,4,3,hsk4
改变,gǎibiàn,改变,4,3,hsk4
感动,gǎndòng,感动,4,3,hsk4
感谢,gǎnxiè,感谢,4,3,hsk4
鼓励,gǔlì,鼓励,4,3,hsk4
广告,guǎnggào,广告,4,3,hsk4
好像,hǎoxiàng,好像,4,3,hsk4
解释,jiěshì,解释,4,3,hsk4
景色,jǐngsè,景色,4,3,hsk4
举办,jǔbàn,举办,4,3,hsk4
考虑,kǎolǜ,考虑,4,3,hsk4
可是,kěshì,可是,4,3,hsk4
肯定,kěndìng,肯定,4,3,hsk4
恐怕,kǒngpà,恐怕,4,3,hsk4
冷静,lěngjìng,冷静,4,3,hsk4
礼貌,lǐmào,礼貌,4,3,hsk4
理发,lǐfà,理发,4,3,hsk4
美丽,měilì,美丽,4,3,hsk4
免费,miǎnfèi,免费,4,3,hsk4
普遍,pǔbiàn,普遍,4,3,hsk4
使用,shǐyòng,使用,4,3,hsk4
讨论,tǎolùn,讨论,4,3,hsk4
讨厌,tǎoyàn,讨厌,4,3,hsk4
网站,wǎngzhàn,网站,4,3,hsk4
眼镜,yǎnjìng,眼镜,4,3,hsk4
友谊,yǒuyì,友谊,4,3,hsk4
有趣,yǒuqù,有趣,4,3,hsk4
只要,zhǐyào,只要,4,3,hsk4
准确,zhǔnquè,准确,4,3,hsk4
仔细,zǐxì,仔细,4,3,hsk4
左右,zuǒyòu,左右,4,3,hsk4
打扮,dǎbàn,打扮,4,3,hsk4
好处,hǎochù,好处,4,3,hsk4
饺子,jiǎozi,饺子,4,3,hsk4
马虎,mǎhǔ,马虎,4,3,hsk4
母亲,mǔqīn,母亲,4,3,hsk4
暖和,nuǎnhuo,暖和,4,3,hsk4
主意,zhǔyì,主意,4,3,hsk4
差不多,chàbuduō,差不多,4,3,hsk4
大约,dàyuē,大约,4,3,hsk4
放松,fàngsōng,放松,4,3,hsk4
害羞,hàixiū,害羞,4,3,hsk4
互相,hùxiāng,互相,4,3,hsk4
降低,jiàngdī,降低,4,3,hsk4
竞争,jìngzhēng,竞争,4,3,hsk4
客厅,kètīng,客厅,4,3,hsk4
律师,lǜshī,律师,4,3,hsk4
耐心,nàixīn,耐心,4,3,hsk4
现金,xiànjīn,现金,4,3,hsk4
信封,xìnfēng,信封,4,3,hsk4
信息,xìnxī,信息,4,3,hsk4
信心,xìnxīn,信心,4,3,hsk4
亚洲,yàzhōu,亚洲,4,3,hsk4
作家,zuòjiā,作家,4,3,hsk4
爱情,àiqíng,爱情,4,3,hsk4
按时,ànshí,按时,4,3,hsk4
报名,bàomíng,报名,4,3,hsk4
地球,dìqiú,地球,4,3,hsk4
调查,diàochá,调查,4,3,hsk4
对于,duìyú,对于,4,3,hsk4
负责,fùzé,负责,4,3,hsk4
复杂,fùzá,复杂,4,3,hsk4
共同,gòngtóng,共同,4,3,hsk4
过程,guòchéng,过程,4,3,hsk4
获得,huòdé,获得,4,3,hsk4
既然,jìrán,既然,4,3,hsk4
价格,jiàgé,价格,4,3,hsk4
进行,jìnxíng,进行,4,3,hsk4
竟然,jìngrán,竟然,4,3,hsk4
拒绝,jùjué,拒绝,4,3,hsk4
距离,jùlí,距离,4,3,hsk4
例如,lìrú,例如,4,3,hsk4
内容,nèiróng,内容,4,3,hsk4
确实,quèshí,确实,4,3,hsk4
任何,rènhé,任何,4,3,hsk4
适合,shìhé,适合,4,3,hsk4
橡皮,xiàngpí,橡皮,4,3,hsk4
幸福,xìngfú,幸福,4,3,hsk4
性别,xìngbié,性别,4,3,hsk4
性格,xìnggé,性格,4,3,hsk4
预习,yùxí,预习,4,3,hsk4
阅读,yuèdú,阅读,4,3,hsk4
暂时,zànshí,暂时,4,3,hsk4
正常,zhèngcháng,正常,4,3,hsk4
证明,zhèngmíng,证明,4,3,hsk4
著名,zhùmíng,著名,4,3,hsk4
自然,zìrán,自然,4,3,hsk4
并且,bìngqiě,并且,4,3,hsk4
不管,bùguǎn,不管,4,3,hsk4
不仅,bùjǐn,不仅,4,3,hsk4
厕所,cèsuǒ,厕所,4,3,hsk4
到底,dàodǐ,到底,4,3,hsk4
地点,dìdiǎn,地点,4,3,hsk4
地址,dìzhǐ,地址,4,3,hsk4
付款,fùkuǎn,付款,4,3,hsk4
号码,hàomǎ,号码,4,3,hsk4
后悔,hòuhuǐ,后悔,4,3,hsk4
记者,jìzhě,记者,4,3,hsk4
禁止,jìnzhǐ,禁止,4,3,hsk4
看法,kànfǎ,看法,4,3,hsk4
密码,mìmǎ,密码,4,3,hsk4
入口,rùkǒu,入口,4,3,hsk4
是否,shìfǒu,是否,4,3,hsk4
特点,tèdiǎn,特点,4,3,hsk4
效果,xiàoguǒ,效果,4,3,hsk4
正好,zhènghǎo,正好,4,3,hsk4
至少,zhìshǎo,至少,4,3,hsk4
重点,zhòngdiǎn,重点,4,3,hsk4
最好,zuìhǎo,最好,4,3,hsk4
作者,zuòzhě,作者,4,3,hsk4
按照,ànzhào,按照,4,3,hsk4
抱歉,bàoqiàn,抱歉,4,3,hsk4
毕业,bìyè,毕业,4,3,hsk4
错误,cuòwù,错误,4,3,hsk4
大概,dàgài,大概,4,3,hsk4
到处,dàochù,到处,4,3,hsk4
道歉,dàoqiàn,道歉,4,3,hsk4
动作,dòngzuò,动作,4,3,hsk4
对话,duìhuà,对话,4,3,hsk4
对面,duìmiàn,对面,4,3,hsk4
放弃,fàngqì,放弃,4,3,hsk4
复印,fùyìn,复印,4,3,hsk4
购物,gòuwù,购物,4,3,hsk4
故意,gùyì,故意,4,3,hsk4
顾客,gùkè,顾客,4,3,hsk4
计划,jìhuà,计划,4,3,hsk4
技术,jìshù,技术,4,3,hsk4
继续,jìxù,继续,4,3,hsk4
建议,jiànyì,建议,4,3,hsk4
降落,jiàngluò,降落,4,3,hsk4
教授,jiàoshòu,教授,4,3,hsk4
教育,jiàoyù,教育,4,3,hsk4
聚会,jùhuì,聚会,4,3,hsk4
浪费,làngfèi,浪费,4,3,hsk4
浪漫,làngmàn,浪漫,4,3,hsk4
另外,lìngwài,另外,4,3,hsk4
目的,mùdì,目的,4,3,hsk4
判断,pànduàn,判断,4,3,hsk4
气候,qìhòu,气候,4,3,hsk4
日记,rìjì,日记,4,3,hsk4
散步,sànbù,散步,4,3,hsk4
社会,shèhuì,社会,4,3,hsk4
甚至,shènzhì,甚至,4,3,hsk4
世纪,shìjì,世纪,4,3,hsk4
适应,shìyìng,适应,4,3,hsk4
受到,shòudào,受到,4,3,hsk4
数量,shùliàng,数量,4,3,hsk4
数字,shùzì,数字,4,3,hsk4
顺便,shùnbiàn,顺便,4,3,hsk4
顺利,shùnlì,顺利,4,3,hsk4
顺序,shùnxù,顺序,4,3,hsk4
硕士,shuòshì,硕士,4,3,hsk4
速度,sùdù,速度,4,3,hsk4
误会,wùhuì,误会,4,3,hsk4
羡慕,xiànmù,羡慕,4,3,hsk4
艺术,yìshù,艺术,4,3,hsk4
意见,yìjiàn,意见,4,3,hsk4
印象,yìnxiàng,印象,4,3,hsk4
应聘,yìngpìn,应聘,4,3,hsk4
占线,zhànxiàn,占线,4,3,hsk4
正确,zhèngquè,正确,4,3,hsk4
正式,zhèngshì,正式,4,3,hsk4
质量,zhìliàng,质量,4,3,hsk4
重视,zhòngshì,重视,4,3,hsk4
祝贺,zhùhè,祝贺,4,3,hsk4
自信,zìxìn,自信,4,3,hsk4
作用,zuòyòng,作用,4,3,hsk4
座位,zuòwèi,座位,4,3,hsk4
部分,bùfèn,部分,4,3,hsk4
大夫,dàfū,大夫,4,3,hsk4
肚子,dǔzi,肚子,4,3,hsk4
父亲,fùqīn,父亲,4,3,hsk4
护士,hùshì,护士,4,3,hsk4
镜子,jìngzi,镜子,4,3,hsk4
困难,kùnnán,困难,4,3,hsk4
力气,lìqì,力气,4,3,hsk4
厉害,lìhài,厉害,4,3,hsk4
热闹,rènào,热闹,4,3,hsk4
任务,rènwù,任务,4,3,hsk4
态度,tàidù,态度,4,3,hsk4
袜子,wàzi,袜子,4,3,hsk4
味道,wèidào,味道,4,3,hsk4
笑话,xiàohuà,笑话,4,3,hsk4
样子,yàngzi,样子,4,3,hsk4
要是,yàoshì,要是,4,3,hsk4
钥匙,yàoshi,钥匙,4,3,hsk4
叶子,yèzi,叶子,4,3,hsk4
登机牌,dēngjīpái,登机牌,4,3,hsk4
乒乓球,pīngpāngqiú,乒乓球,4,3,hsk4
垃圾桶,lājītǒng,垃圾桶,4,3,hsk4
加油站,jiāyóuzhàn,加油站,4,3,hsk4
开玩笑,kāiwánxiào,开玩笑,4,3,hsk4
西红柿,xīhóngshì,西红柿,4,3,hsk4
弹钢琴,tángāngqín,弹钢琴,4,3,hsk4
来不及,láibùjí,来不及,4,3,hsk4
来得及,láidejí,来得及,4,3,hsk4
百分之,bǎifēnzhī,百分之,4,3,hsk4
普通话,pǔtōnghuà,普通话,4,3,hsk4
打招呼,dǎzhāohū,打招呼,4,3,hsk4
羽毛球,yǔmáoqiú,羽毛球,4,3,hsk4
小伙子,xiǎohuǒzi,小伙子,4,3,hsk4
礼拜天,lǐbàitiān,礼拜天,4,3,hsk4
巧克力,qiǎokèlì,巧克力,4,3,hsk4
卫生间,wèishēngjiān,卫生间,4,3,hsk4
互联网,hùliánwǎng,互联网,4,3,hsk4
矿泉水,kuàngquánshuǐ,矿泉水,4,3,hsk4
不得不,bùdébù,不得不,4,3,hsk4
大使馆,dàshǐguǎn,大使馆,4,3,hsk4
放暑假,fàngshǔjià,放暑假,4,3,hsk4
售货员,shòuhuòyuán,售货员,4,3,hsk4
塑料袋,sùliàodài,塑料袋,4,3,hsk4
受不了,shòubùliǎo,受不了,4,3,hsk4
高速公路,gāosùgōnglù,高速公路,4,3,hsk4
哎,āi,哎,5,2,hsk5
背,bèi,背,5,2,hsk5
插,chā,插,5,2,hsk5
拆,chāi,拆,5,2,hsk5
抄,chāo,抄,5,2,hsk5
称,chēng,称,5,2,hsk5
冲,chōng,冲,5,2,hsk5
吹,chuī,吹,5,2,hsk5
催,cuī,催,5,2,hsk5
呆,dāi,呆,5,2,hsk5
滴,dī,滴,5,2,hsk5
堆,duī,堆,5,2,hsk5
吨,dūn,吨,5,2,hsk5
蹲,dūn,蹲,5,2,hsk5
嗯,ń,嗯,5,2,hsk5
翻,fān,翻,5,2,hsk5
方,fāng,方,5,2,hsk5
非,fēi,非,5,2,hsk5
根,gēn,根,5,2,hsk5
乖,guāi,乖,5,2,hsk5
官,guān,官,5,2,hsk5
锅,guō,锅,5,2,hsk5
哈,hā,哈,5,2,hsk5
灰,huī,灰,5,2,hsk5
挥,huī,挥,5,2,hsk5
浇,jiāo,浇,5,2,hsk5
捐,juān,捐,5,2,hsk5
颗,kē,颗,5,2,hsk5
夸,kuā,夸,5,2,hsk5
宽,kuān,宽,5,2,hsk5
摸,mō,摸,5,2,hsk5
拍,pāi,拍,5,2,hsk5
批,pī,批,5,2,hsk5
披,pī,披,5,2,hsk5
飘,piāo,飘,5,2,hsk5
签,qiān,签,5,2,hsk5
枪,qiāng,枪,5,2,hsk5
切,qiè,切,5,2,hsk5
青,qīng,青,5,2,hsk5
圈,quān,圈,5,2,hsk5
杀,shā,杀,5,2,hsk5
伸,shēn,伸,5,2,hsk5
升,shēng,升,5,2,hsk5
诗,shī,诗,5,2,hsk5
撕,sī,撕,5,2,hsk5
偷,tōu,偷,5,2,hsk5
歪,wāi,歪,5,2,hsk5
瞎,xiā,瞎,5,2,hsk5
歇,xiē,歇,5,2,hsk5
胸,xiōng,胸,5,2,hsk5
腰,yāo,腰,5,2,hsk5
晕,yūn,晕,5,2,hsk5
摘,zhāi,摘,5,2,hsk5
睁,zhēng,睁,5,2,hsk5
支,zhī,支,5,2,hsk5
猪,zhū,猪,5,2,hsk5
抓,zhuā,抓,5,2,hsk5
装,zhuāng,装,5,2,hsk5
追,zhuī,追,5,2,hsk5
薄,báo,薄,5,2,hsk5
朝,cháo,朝,5,2,hsk5
扶,fú,扶,5,2,hsk5
幅,fú,幅,5,2,hsk5
壶,hú,壶,5,2,hsk5
滑,huá,滑,5,2,hsk5
拦,lán,拦,5,2,hsk5
雷,léi,雷,5,2,hsk5
梨,lí,梨,5,2,hsk5
铃,líng,铃,5,2,hsk5
龙,lóng,龙,5,2,hsk5
浓,nóng,浓,5,2,hsk5
盆,pén,盆,5,2,hsk5
平,píng,平,5,2,hsk5
凭,píng,凭,5,2,hsk5
墙,qiáng,墙,5,2,hsk5
瞧,qiáo,瞧,5,2,hsk5
群,qún,群,5,2,hsk5
蛇,shé,蛇,5,2,hsk5
逃,táo,逃,5,2,hsk5
桃,táo,桃,5,2,hsk5
团,tuán,团,5,2,hsk5
闻,wén,闻,5,2,hsk5
斜,xié,斜,5,2,hsk5
摇,yáo,摇,5,2,hsk5
银,yín,银,5,2,hsk5
圆,yuán,圆,5,2,hsk5
则,zé,则,5,2,hsk5
直,zhí,直,5,2,hsk5
摆,bǎi,摆,5,2,hsk5
踩,cǎi,踩,5,2,hsk5
吵,chǎo,吵,5,2,hsk5
炒,chǎo,炒,5,2,hsk5
丑,chǒu,丑,5,2,hsk5
闯,chuǎng,闯,5,2,hsk5
挡,dǎng,挡,5,2,hsk5
顶,dǐng,顶,5,2,hsk5
朵,duǒ,朵,5,2,hsk5
搞,gǎo,搞,5,2,hsk5
滚,gǔn,滚,5,2,hsk5
喊,hǎn,喊,5,2,hsk5
甲,jiǎ,甲,5,2,hsk5
捡,jiǎn,捡,5,2,hsk5
砍,kǎn,砍,5,2,hsk5
某,mǒu,某,5,2,hsk5
匹,pǐ,匹,5,2,hsk5
浅,qiǎn,浅,5,2,hsk5
抢,qiǎng,抢,5,2,hsk5
娶,qǔ,娶,5,2,hsk5
软,ruǎn,软,5,2,hsk5
洒,sǎ,洒,5,2,hsk5
傻,shǎ,傻,5,2,hsk5
首,shǒu,首,5,2,hsk5
甩,shuǎi,甩,5,2,hsk5
所,suǒ,所,5,2,hsk5
锁,suǒ,锁,5,2,hsk5
吐,tǔ,吐,5,2,hsk5
吻,wěn,吻,5,2,hsk5
痒,yǎng,痒,5,2,hsk5
咬,yǎo,咬,5,2,hsk5
乙,yǐ,乙,5,2,hsk5
窄,zhǎi,窄,5,2,hsk5
涨,zhǎng,涨,5,2,hsk5
煮,zhǔ,煮,5,2,hsk5
